epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7142,0.58304,1.54486,1.20239,0.8532,0.94833,0.94192,0.76414,0.25458,28.9528,0.51869,0.00066358,0.00066358,0.00066358
2,119.371,0.46879,0.77016,1.09071,0.82915,0.87759,0.94144,0.37749,0.43625,14.4094,0.6966,0.00130391,0.00130391,0.00130391
3,171.453,0.45703,0.58018,1.08359,0.98941,0.99667,0.99465,0.93687,0.14009,1.29138,0.26278,0.00191784,0.00191784,0.00191784
4,215.546,0.44278,0.51284,1.07347,0.99336,0.99672,0.99493,0.88921,0.2023,0.36257,0.28809,0.0018812,0.0018812,0.0018812
5,265.854,0.39964,0.4458,1.03402,0.99075,0.98192,0.99419,0.94646,0.17211,0.17269,0.2751,0.0018416,0.0018416,0.0018416
6,324.785,0.36535,0.38809,1.01334,0.99966,1,0.995,0.95695,0.19492,0.18485,0.36704,0.001802,0.001802,0.001802
7,380.817,0.34213,0.36567,1.00229,0.99878,1,0.995,0.99004,0.11635,0.24663,0.16805,0.0017624,0.0017624,0.0017624
8,434.164,0.32052,0.33854,0.99214,0.99917,0.99987,0.995,0.99316,0.07872,0.14926,0.19139,0.0017228,0.0017228,0.0017228
9,475.274,0.30575,0.3331,0.99087,0.98834,1,0.99493,0.98383,0.10711,2.95481,0.19154,0.0016832,0.0016832,0.0016832
10,528.64,0.30351,0.31052,0.98523,0.99827,1,0.995,0.99215,0.08818,0.10501,0.14207,0.0016436,0.0016436,0.0016436
11,576.551,0.29174,0.29735,0.98539,0.9998,1,0.995,0.99108,0.12745,0.36021,0.1717,0.001604,0.001604,0.001604
12,632.109,0.27337,0.28484,0.96588,0.99995,1,0.995,0.99377,0.10706,0.11871,0.16573,0.0015644,0.0015644,0.0015644
13,693.564,0.271,0.27576,0.97289,0.99924,1,0.995,0.94972,0.10625,0.43634,0.1519,0.0015248,0.0015248,0.0015248
14,758.967,0.25558,0.2551,0.95995,0.99995,1,0.995,0.94794,0.13079,0.10385,0.18262,0.0014852,0.0014852,0.0014852
