epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,18.5909,2.75245,4.74956,2.72281,0.00176,0.55423,0.01038,0.00219,2.82063,3.94386,3.20243,0.00140152,0.000467173,0.00140152,0.000467173,0.00140152,0.000467173,0.00140152,0.000467173
2,32.515,2.29839,4.30947,2.262,0.0024,0.72701,0.06991,0.02821,1.97696,3.54802,2.21719,0.00277447,0.000924825,0.00277447,0.000924825,0.00277447,0.000924825,0.00277447,0.000924825
3,48.97,1.77714,3.7585,1.78175,0.89684,0.2459,0.29601,0.15612,1.61984,2.97394,1.74276,0.00409084,0.00136361,0.00409084,0.00136361,0.00409084,0.00136361,0.00409084,0.00136361
4,57.4255,1.55803,3.06751,1.59214,0.47837,0.45252,0.51388,0.26356,1.60821,2.83,1.9153,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,70.5686,1.39793,2.58593,1.47459,0.70965,0.67161,0.7338,0.46691,1.23729,1.97682,1.51966,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,86.8705,1.29745,2.22451,1.39912,0.74295,0.93158,0.89515,0.56485,1.21022,1.59331,1.47517,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,97.3345,1.23905,1.94787,1.33432,0.87969,0.95735,0.97058,0.67257,1.06664,1.36511,1.38564,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,111.692,1.14994,1.74274,1.29449,0.92757,0.9625,0.97458,0.71065,0.97764,1.20006,1.31563,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,117.779,1.10273,1.5757,1.24892,0.92777,0.97483,0.98066,0.68838,1.05243,1.1621,1.34549,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,123.747,1.04884,1.47506,1.2269,0.91585,0.99061,0.98228,0.73748,0.90675,1.07545,1.23295,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
